


Status,List Price,Original List Price,Sales Price,Days On Market
CLOSD,"$869,900.00","$869,900.00","$907,751.00",20
CLOSD,"$850,000.00","$850,000.00","$850,000.00",4
PEND,"$799,950.00","$865,000.00",,29
CLOSD,"$750,000.00","$750,000.00","$750,500.00",2
CLOSD,"$975,000.00","$975,000.00","$975,000.00",78
CLOSD,"$769,500.00","$769,500.00","$776,000.00",6
ACT,"$799,950.00","$859,950.00",,35
ACT,"$899,900.00","$899,900.00",,33
CLOSD,"$939,950.00","$939,950.00","$899,000.00",35
ACT,"$715,000.00","$715,000.00",,1
ACT,"$935,000.00","$975,000.00",,23
ACT,"$899,950.00","$899,950.00",,175
CLOSD,"$768,000.00","$798,000.00","$760,000.00",20
ACT,"$874,950.00","$899,900.00",,113
CLOSD,"$800,000.00","$800,000.00","$850,000.00",10
ACT,"$1,071,000.00","$1,102,500.00",,31
ACT,"$730,000.00","$730,000.00",,28
CLOSD,"$824,000.00","$824,000.00","$810,000.00",8
ACT,"$999,950.00","$999,950.00",,8
PEND,"$965,000.00","$989,000.00",,37
ACT,"$849,950.00","$849,950.00",,8
PEND,"$1,137,000.00","$1,375,000.00",,42
CLOSD,"$1,295,000.00","$1,295,000.00","$1,295,000.00",13
ACT,"$899,950.00","$924,950.00",,23
ACT,"$729,900.00","$735,000.00",,43
PEND,"$774,999.00","$799,999.00",,30
ACT,"$725,500.00","$725,500.00",,9
ACT,"$819,950.00","$819,950.00",,63
CLOSD,"$750,000.00","$750,000.00","$761,300.00",7
ACT,"$1,295,000.00","$1,395,000.00",,119
PEND,"$1,150,000.00","$1,150,000.00",,127
ACT,"$850,000.00","$850,000.00",,2
PEND,"$775,000.00","$775,000.00",,5
ACT,"$799,000.00","$799,000.00",,8
ACT,"$1,495,000.00","$1,495,000.00",,65
ACT,"$750,000.00","$750,000.00",,145
PEND,"$950,000.00","$950,000.00",,3
CLOSD,"$725,000.00","$725,000.00","$735,000.00",3
ACT,"$849,950.00","$849,950.00",,4
ACT,"$715,000.00","$715,000.00",,27
CLOSD,"$749,900.00","$749,900.00","$725,000.00",14
ACT,"$1,200,000.00","$1,200,000.00",,51
ACT,"$825,000.00","$825,000.00",,9
CLOSD,"$805,000.00","$805,000.00","$780,000.00",43
CLOSD,"$664,950.00","$664,950.00","$701,000.00",3
ACT,"$719,950.00","$739,950.00",,31
PEND,"$715,000.00","$715,000.00",,6
ACT,"$849,950.00","$849,950.00",,2
PEND,"$825,000.00","$825,000.00",,5
PEND,"$850,000.00","$850,000.00",,4
ACT,"$780,000.00","$780,000.00",,4
ACT,"$850,000.00","$850,000.00",,14
PEND,"$837,900.00","$837,900.00",,3
PEND,"$749,950.00","$749,950.00",,6
PEND,"$820,000.00","$820,000.00",,19
CLOSD,"$834,500.00","$834,500.00","$877,000.00",6
PEND,"$915,000.00","$915,000.00",,6
CLOSD,"$699,000.00","$699,000.00","$767,000.00",6
PEND,"$799,950.00","$799,950.00",,4
ACT,"$969,000.00","$975,000.00",,32
PEND,"$799,000.00","$799,000.00",,3
CLOSD,"$680,000.00","$680,000.00","$705,000.00",4
CLOSD,"$900,000.00","$900,000.00","$980,000.00",4
CLOSD,"$750,000.00","$750,000.00","$745,000.00",5
CLOSD,"$749,950.00","$749,950.00","$725,000.00",26
ACT,"$875,000.00","$975,000.00",,35
PEND,"$899,950.00","$899,950.00",,5
PEND,"$845,000.00","$845,000.00",,4
PEND,"$999,950.00","$999,950.00",,8
PEND,"$1,350,000.00","$1,350,000.00",,4
CLOSD,"$1,175,000.00","$1,175,000.00","$1,352,000.00",8
EXP,"$1,100,000.00","$1,125,000.00",,79
CLOSD,"$719,000.00","$719,000.00","$770,000.00",5
ACT,"$1,050,000.00","$1,050,000.00",,0
CLOSD,"$1,100,000.00","$1,100,000.00","$1,100,000.00",5
PEND,"$799,950.00","$849,950.00",,18
ACT,"$1,125,000.00","$1,150,000.00",,17
PEND,"$999,500.00","$999,500.00",,17
CLOSD,"$699,000.00","$699,000.00","$741,000.00",4
CLOSD,"$799,950.00","$799,950.00","$780,000.00",21
PEND,"$899,900.00","$899,900.00",,7
CLOSD,"$950,000.00","$950,000.00","$950,000.00",8
CLOSD,"$1,095,000.00","$1,095,000.00","$1,095,000.00",7
PEND,"$959,900.00","$959,900.00",,6
CLOSD,"$750,000.00","$750,000.00","$790,000.00",5
CLOSD,"$850,000.00","$850,000.00","$875,888.00",6
CLOSD,"$859,900.00","$859,900.00","$850,000.00",9
CLOSD,"$739,900.00","$739,900.00","$723,000.00",13
CLOSD,"$624,950.00","$624,950.00","$711,000.00",5
PEND,"$925,000.00","$925,000.00",,16
CLOSD,"$829,900.00","$859,900.00","$829,848.00",302
CLOSD,"$780,000.00","$780,000.00","$765,000.00",7
ACT,"$774,995.00","$774,995.00",,8
CLOSD,"$850,000.00","$850,000.00","$850,000.00",7
ACT,"$899,000.00","$899,000.00",,9
PEND,"$795,000.00","$795,000.00",,7
PEND,"$890,000.00","$890,000.00",,9
CLOSD,"$749,900.00","$749,900.00","$771,000.00",2
PEND,"$865,000.00","$865,000.00",,8
PEND,"$725,000.00","$725,000.00",,2
PEND,"$1,340,000.00","$1,340,000.00",,8
ACT,"$900,000.00","$900,000.00",,52
ACT,"$888,950.00","$888,950.00",,86
PEND,"$1,099,000.00","$1,099,000.00",,8
CLOSD,"$1,050,000.00","$1,050,000.00","$1,115,000.00",11
PEND,"$849,950.00","$849,950.00",,6
ACT,"$954,954.00","$954,954.00",,4
CLOSD,"$680,000.00","$680,000.00","$720,600.00",8
PEND,"$715,000.00","$715,000.00",,5
CLOSD,"$925,000.00","$925,000.00","$950,000.00",8
PEND,"$725,000.00","$725,000.00",,9
PEND,"$1,199,900.00","$1,199,900.00",,5
ACT,"$1,299,950.00","$1,499,950.00",,20
PEND,"$789,000.00","$789,000.00",,6
ACT,"$1,195,000.00","$1,195,000.00",,24
CLOSD,"$750,000.00","$750,000.00","$760,000.00",4
CLOSD,"$795,000.00","$795,000.00","$875,000.00",5
ACT,"$839,700.00","$850,000.00",,56
CLOSD,"$799,000.00","$845,000.00","$805,000.00",9
CLOSD,"$899,000.00","$899,000.00","$899,000.00",32
CLOSD,"$724,950.00","$724,950.00","$724,950.00",7
CLOSD,"$749,950.00","$799,950.00","$730,000.00",92
CLOSD,"$1,025,000.00","$1,025,000.00","$1,105,000.00",4
ACT,"$1,175,000.00","$1,175,000.00",,3
CLOSD,"$769,000.00","$769,000.00","$885,000.00",12
CLOSD,"$700,000.00","$700,000.00","$706,000.00",27
PEND,"$725,000.00","$775,000.00",,29
CLOSD,"$799,000.00","$799,000.00","$815,000.00",2
ACT,"$723,900.00","$741,997.00",,59
CLOSD,"$739,000.00","$739,000.00","$760,000.00",3
ACT,"$849,995.00","$849,995.00",,39
ACT,"$1,299,900.00","$1,350,000.00",,37
CLOSD,"$1,500,000.00","$1,500,000.00","$1,500,000.00",4
ACT,"$724,950.00","$724,950.00",,1
CLOSD,"$1,450,000.00","$1,450,000.00","$1,500,000.00",4
PEND,"$765,000.00","$765,000.00",,4
CLOSD,"$925,000.00","$925,000.00","$856,000.00",42
CLOSD,"$1,400,000.00","$1,400,000.00","$1,400,000.00",4
PEND,"$850,000.00","$899,000.00",,26
ACT,"$729,000.00","$729,000.00",,4
PEND,"$1,350,000.00","$1,350,000.00",,6
PEND,"$849,000.00","$849,000.00",,5
CLOSD,"$1,100,000.00","$1,100,000.00","$1,100,000.00",6
ACT,"$875,000.00","$875,000.00",,2
PEND,"$850,000.00","$850,000.00",,9
CLOSD,"$659,000.00","$659,000.00","$715,100.00",7
ACT,"$899,000.00","$930,000.00",,36
ACT,"$719,000.00","$719,000.00",,9
PEND,"$825,000.00","$825,000.00",,8
PEND,"$724,950.00","$724,950.00",,5
CLOSD,"$749,950.00","$749,950.00","$761,000.00",4
CLOSD,"$682,950.00","$682,950.00","$711,000.00",6
ACT,"$729,950.00","$749,950.00",,31
CLOSD,"$674,950.00","$674,950.00","$718,650.00",6
CLOSD,"$775,000.00","$775,000.00","$850,000.00",7
PEND,"$799,990.00","$799,990.00",,6
ACT,"$799,950.00","$799,950.00",,35
PEND,"$1,099,000.00","$1,099,000.00",,23
ACT,"$749,000.00","$749,000.00",,0
PEND,"$725,000.00","$725,000.00",,4
ACT,"$1,500,000.00","$1,500,000.00",,35
CLOSD,"$899,500.00","$922,000.00","$890,000.00",26
ACT,"$799,900.00","$849,900.00",,41
PEND,"$725,000.00","$725,000.00",,23
ACT,"$973,000.00","$973,000.00",,4
CLOSD,"$825,000.00","$825,000.00","$825,000.00",0
CLOSD,"$985,000.00","$985,000.00","$1,005,000.00",11
CLOSD,"$950,000.00","$950,000.00","$965,000.00",8
ACT,"$795,000.00","$795,000.00",,11
PEND,"$1,075,000.00","$1,120,000.00",,58
CLOSD,"$1,075,000.00","$1,150,000.00","$1,075,000.00",134
CLOSD,"$989,000.00","$989,000.00","$1,000,000.00",7
ACT,"$875,000.00","$875,000.00",,8
CLOSD,"$890,000.00","$890,000.00","$855,000.00",16
CLOSD,"$699,900.00","$699,900.00","$715,000.00",3
CLOSD,"$1,450,000.00","$1,450,000.00","$1,390,000.00",21
CLOSD,"$700,000.00","$700,000.00","$755,000.00",3
ACT,"$850,000.00","$850,000.00",,7
CLOSD,"$1,125,000.00","$1,125,000.00","$1,115,000.00",13
ACT,"$725,000.00","$725,000.00",,2
PEND,"$725,000.00","$725,000.00",,3
CLOSD,"$764,900.00","$764,900.00","$825,000.00",2
CLOSD,"$799,950.00","$799,950.00","$800,000.00",9
ACT,"$795,000.00","$795,000.00",,212
PEND,"$799,950.00","$799,950.00",,8
PEND,"$1,249,900.00","$1,299,900.00",,40
CLOSD,"$950,000.00","$950,000.00","$1,060,000.00",4
EXP,"$1,000,000.00","$1,000,000.00",,366
CLOSD,"$799,500.00","$799,500.00","$822,500.00",4
