"Status","Address","List Price","Original List Price","Sales Price","Days On Market"
"CLOSD","7021 Leire DR","$518,967","$514,950","$510,987","77"
"CLOSD","9236 Saxsawn LN","$709,990","$696,190","$700,000","253"
"CLOSD","18001 Twin Falls LN","$595,000","$595,000","$610,000","5"
"CLOSD","5500 Swift Fox DR","$549,900","$549,900","$555,000","9"
"CLOSD","16613 Burridge PL","$695,000","$700,000","$690,000","29"
"CLOSD","13036 Fieldfare DR","$538,950","$538,950","$616,142","0"
"CLOSD","6612 Stonewolf CT","$880,000","$880,000","$865,000","53"
"CLOSD","7044 Dunton RD","$453,950","$453,950","$527,201","0"
"CLOSD","12900 Craftsbury CT","$475,950","$475,950","$506,194","0"
"CLOSD","17901 Pine Canyon TRL","$824,000","$824,000","$810,000","8"
"CLOSD","9955 Maidstone CT","$544,950","$544,950","$539,211","19"
"CLOSD","5425 Grandin AVE Unit#1-1","$561,213","$516,213","$561,213","32"
"CLOSD","8455 Timberstone DR","$599,950","$650,000","$615,000","80"
"CLOSD","7025 Leire DR","$470,950","$470,950","$522,403","0"
"CLOSD","5424 Swift Fox CT","$621,210","$621,210","$604,110","98"
"CLOSD","14800 Waverton Turn","$799,000","$799,000","$815,000","2"
"CLOSD","9112 Verneham CT","$635,950","$684,950","$651,630","154"
"CLOSD","7037 Leire DR","$468,950","$468,950","$535,895","0"
"CLOSD","7029 Leire DR","$461,950","$461,660","$441,660","83"
"CLOSD","16718 Broadmoor RD","$599,900","$599,900","$590,000","12"
"CLOSD","9119 Haynes Bridge RD","$587,980","$627,390","$573,000","324"
"CLOSD","7017 Dunton RD","$438,470","$437,950","$422,970","81"
"CLOSD","9242 Saxsawn Lane","$649,950","$664,950","$651,450","189"
"CLOSD","5448 Swift Fox PL","$572,950","$572,950","$662,322","0"
"CLOSD","10006 Craftsbury DR","$515,950","$515,950","$578,623","0"
"CLOSD","6808 Welara RUN Unit#602-6","$404,507","$414,507","$404,507","74"
"CLOSD","15931 Fishers Green DR","$529,950","$534,950","$529,950","87"
"CLOSD","18107 Twin Falls LN","$535,000","$535,000","$550,000","3"
"CLOSD","9249 Moldova RD","$777,547","$777,547","$742,088","21"
"CLOSD","5519 Tag Alder TER","$549,950","$549,950","$549,950","11"
"CLOSD","9100 Cambian Place","$789,950","$834,950","$785,777","86"
