"Status","Address","List Price","Original List Price","Sales Price","Days On Market","Sales Date","New/Resale"
"CLOSD","5512 Woodburn CT","$950,000","$950,000","$1,037,000","5","05/18/2022","Resale (occupied at least once)"
"CLOSD","5114 Old Main ST","$745,000","$745,000","$750,000","24","09/15/2022","Resale (occupied at least once)"
"CLOSD","16 Capital Trail ROW","$725,000","$725,000","$727,500","8","10/03/2022","Resale (occupied at least once)"
"CLOSD","16106 Turquoise DR","$615,000","$615,000","$635,000","3","12/15/2021","Resale (occupied at least once)"
"CLOSD","2 Shiplock ROW","$619,900","$619,900","$630,000","3","04/29/2022","Resale (occupied at least once)"
"CLOSD","5261 Old Main ST","$640,000","$640,000","$620,000","26","08/12/2022","Resale (occupied at least once)"
"CLOSD","230 N 6th ST Unit#U806","$635,000","$635,000","$615,000","16","09/26/2022","Resale (occupied at least once)"
"CLOSD","3 Shiplock ROW","$619,900","$629,900","$610,000","94","10/18/2022","Resale (occupied at least once)"
"CLOSD","5 Shiplock ROW","$609,900","$619,900","$608,500","75","10/06/2022","Resale (occupied at least once)"
"CLOSD","3384 Holywell CIR","$579,000","$579,000","$600,000","12","06/17/2022","Resale (occupied at least once)"
"CLOSD","8431 Fedora DR","$599,900","$619,000","$600,000","53","11/30/2021","Resale (occupied at least once)"
"CLOSD","4820 Old Main ST Unit#303","$619,000","$619,000","$590,000","52","01/30/2023","Resale (occupied at least once)"
"CLOSD","13904 Sunrise Bluff RD","$550,000","$550,000","$584,700","3","02/23/2023","Resale (occupied at least once)"
"CLOSD","1448 Lundy TER","$545,000","$545,000","$581,000","9","08/02/2021","Resale (occupied at least once)"
"CLOSD","4955 Old Main ST","$579,990","$599,990","$579,990","34","12/27/2022","Resale (occupied at least once)"
"CLOSD","5011 Old Main ST","$599,900","$599,900","$575,000","70","09/09/2022","Resale (occupied at least once)"
"CLOSD","7662 Patriots Landing PL","$551,500","$551,500","$556,500","5","08/02/2021","Resale (occupied at least once)"
"CLOSD","5009 Old Main ST","$549,900","$539,900","$550,000","4","05/02/2022","Resale (occupied at least once)"
"CLOSD","3330 Sherbrook RD","$545,000","$545,000","$540,000","7","11/04/2022","Resale (occupied at least once)"
"CLOSD","5001 Old Main ST","$549,000","$555,000","$525,000","20","10/22/2021","Resale (occupied at least once)"
"CLOSD","5019 Old Main ST","$519,000","$525,000","$515,000","71","02/24/2022","Resale (occupied at least once)"
"CLOSD","251 Rocketts WAY Unit#507","$499,900","$499,900","$500,000","23","02/24/2023","Resale (occupied at least once)"
"CLOSD","4210 Hillcrest RD","$499,000","$499,000","$491,000","33","12/07/2021","Resale (occupied at least once)"
"CLOSD","13540 Thomaswoods LN","$490,000","$495,000","$490,000","88","02/28/2023","Resale (occupied at least once)"
"CLOSD","411 N 31st ST","$399,900","$399,900","$460,000","6","04/15/2022","Resale (occupied at least once)"
"CLOSD","251 Rocketts WAY Unit#201","$449,990","$449,990","$449,990","5","01/05/2022","Resale (occupied at least once)"
"CLOSD","3 Flatwater ROW Unit#B","$449,750","$469,900","$447,750","158","12/22/2021","Resale (occupied at least once)"
"CLOSD","1808 Magnolia Ridge DR","$425,000","$425,000","$425,000","4","06/02/2022","Resale (occupied at least once)"
"CLOSD","12605 Wescott DR","$389,500","$389,500","$411,000","5","04/22/2022","Resale (occupied at least once)"
"CLOSD","7309 Win CT","$390,000","$390,000","$410,000","4","03/01/2022","Resale (occupied at least once)"
"CLOSD","251 Rocketts WAY Unit#118","$399,950","$399,950","$407,000","1","06/20/2023","Resale (occupied at least once)"
"CLOSD","3416 Amburg LN","$375,000","$375,000","$400,000","6","10/25/2021","Resale (occupied at least once)"
"CLOSD","4724 Fulton ST","$385,000","$385,000","$390,000","11","05/01/2023","Resale (occupied at least once)"
"CLOSD","3710 Wakefield RD","$359,000","$359,000","$385,000","1","04/15/2022","Resale (occupied at least once)"
"CLOSD","9536 Hungary Woods DR","$370,000","$370,000","$380,000","3","02/21/2023","Resale (occupied at least once)"
"CLOSD","6949 Lake Caroline DR","$368,000","$385,000","$370,000","13","05/04/2022","Resale (occupied at least once)"
"CLOSD","1407 Kerr DR","$366,000","$366,000","$370,000","2","07/29/2022","Resale (occupied at least once)"
"CLOSD","1403 Kerr DR","$355,000","$355,000","$366,000","1","05/16/2022","Resale (occupied at least once)"
