"Status","Address","Sales Price","New/Resale"
"CLOSD","850 Elmslie LN","$1,075,000","Resale (occupied at least once)"
"CLOSD","6099 Rivermere LN","$1,025,000","New (never occupied)"
"CLOSD","4804 Bromley LN","$829,000","Resale (occupied at least once)"
"CLOSD","3913 Welby DR","$800,000","Resale (occupied at least once)"
"CLOSD","15688 Mosaic Creek BLVD","$763,902","New (never occupied)"
"CLOSD","9130 Verneham CT","$761,220","New (never occupied)"
"CLOSD","12313 Wyndham West DR","$748,271","New (never occupied)"
"CLOSD","16 Capital Trail ROW","$727,500","Resale (occupied at least once)"
"CLOSD","9202 Giles Pond DR","$680,625","New (never occupied)"
"CLOSD","15243 Carindale TER","$674,950","New (never occupied)"
"CLOSD","12206 Rosemead CT","$647,000","Resale (occupied at least once)"
"CLOSD","3503 E Clay ST","$645,000","Resale (occupied at least once)"
"CLOSD","15408 Cedarville DR","$640,785","New (never occupied)"
"CLOSD","11112 BRYANS VIEW CT","$620,000","Resale (occupied at least once)"
"CLOSD","3 Shiplock ROW","$610,000","Resale (occupied at least once)"
"CLOSD","5 Shiplock ROW","$608,500","Resale (occupied at least once)"
"CLOSD","1209 Old Francis RD","$575,000","Resale (occupied at least once)"
"CLOSD","12109 Waterford Way PL","$560,000","Resale (occupied at least once)"
"CLOSD","5301 Old Main ST Unit#B","$555,000","Resale (occupied at least once)"
"CLOSD","605 N 31st ST","$550,000","Resale (occupied at least once)"
"CLOSD","4431 Otterdale RD","$545,000","Resale (occupied at least once)"
"CLOSD","12912 Broad Iron CT","$538,095","New (never occupied)"
"CLOSD","202 Old Ohio ST Unit#B","$530,000","Resale (occupied at least once)"
"CLOSD","1620 Chappell Pond XING","$523,000","New (never occupied)"
"CLOSD","4 Flatwater ROW Unit#B","$521,600","Resale (occupied at least once)"
"CLOSD","4800 Saddleridge CT","$520,000","Resale (occupied at least once)"
"CLOSD","1301 Bon Air Crest PL","$512,395","New (never occupied)"
"CLOSD","8636 Kingsland Park DR","$510,155","New (never occupied)"
"CLOSD","6831 N Hairpin DR","$499,950","Resale (occupied at least once)"
"CLOSD","2512 Monument AVE Unit#U301","$495,000","Resale (occupied at least once)"
"CLOSD","8516 Ashfield Hills TER","$488,000","Resale (occupied at least once)"
"CLOSD","9313 Sir Britton DR","$484,000","Resale (occupied at least once)"
"CLOSD","14005 Fortunes Ridge CT","$480,000","Resale (occupied at least once)"
"CLOSD","11148 Kings Pond DR","$478,669","New (never occupied)"
"CLOSD","10412 Ganymede CT","$475,000","Resale (occupied at least once)"
"CLOSD","516 Enon Church RD","$475,000","Resale (occupied at least once)"
"CLOSD","3700 Town Hall DR","$470,000","Resale (occupied at least once)"
"CLOSD","17419 Trevino PKY","$463,000","Resale (occupied at least once)"
"CLOSD","10830 Tutelo CT","$455,000","Resale (occupied at least once)"
"CLOSD","14490 Warwick Hill RD","$455,000","Resale (occupied at least once)"
"CLOSD","506 N 33rd ST","$450,000","Resale (occupied at least once)"
"CLOSD","15212 Blackrail RD","$445,000","Resale (occupied at least once)"
"CLOSD","7029 Leire DR","$441,660","New (never occupied)"
"CLOSD","3822 Cresthill RD","$440,000","New (never occupied)"
"CLOSD","1912 Galley PL","$435,590","New (never occupied)"
"CLOSD","15606 Wolfboro RD","$435,125","New (never occupied)"
"CLOSD","1804 Clarendon Crescent DR","$435,050","New (never occupied)"
"CLOSD","5113 Sir Sagamore DR","$435,000","Resale (occupied at least once)"
"CLOSD","11601 Longtown LOOP","$433,580","New (never occupied)"
"CLOSD","4115 Summers Hill LN","$430,000","Resale (occupied at least once)"
"CLOSD","1500 Westhall Gardens DR Unit#1-3","$426,830","New (never occupied)"
"CLOSD","12912 Silver Crest RD","$424,000","Resale (occupied at least once)"
"CLOSD","6817 Cornelius ST","$421,970","New (never occupied)"
"CLOSD","7005 Dunton RD","$417,170","New (never occupied)"
"CLOSD","4851 Turner RD","$415,000","Resale (occupied at least once)"
"CLOSD","5601 Drayton Landing CT","$415,000","Resale (occupied at least once)"
